| S1 | S0 | Track_OCCUPIED | Timer | S1' | S0' | TIMER_RUN | TRAFFIC_LIGHT | GATE |
|----|----|----------------|-------|-----|-----|-----------|---------------|------|
| 0  | 0  | 0              | 0     | 0   | 0   | 0         | 0             | 0    |
| 0  | 0  | 1              | 0     | 0   | 1   | 0         | 0             | 0    |
| 0  | 1  | 1              | 1     | 0   | 1   | 0         | 1             | 0    |
| 0  | 1  | 1              | ...   | 0   | 1   | ...       | 1             | 0    |
| 0  | 1  | 1              | 5     | 1   | 0   | 1         | 1             | 0    |
| 1  | 0  | 1              | 5     | 1   | 0   | 1         | 1             | 1    |
| 1  | 0  | 0              | 5     | 0   | 0   | 1         | 1             | 1    |
| 0  | 0  | 0              | 0     | 0   | 0   | 0         | 0             | 0    |
|----|----|----------------|-------|-----|-----|-----------|---------------|------|
